Vendor,Reachable,Has ONPI,HTTPS ORG URL,Findable Metadata,Findable SMART,Findable OpenAPI Docs,Findable OpenAPI JSON,Findable Swagger,Findable Swagger JSON
lille_group_inc,True,False,https://portal.escribe.com/ehr/api/fhir/metadata,https://portal.escribe.com/ehr/api/fhir/metadata,https://portal.escribe.com/ehr/api/fhir/.well-known/smart-configuration,https://portal.escribe.com/ehr/api/fhir/api-docs,https://portal.escribe.com/ehr/api/fhir/metadata/openapi.json,https://portal.escribe.com/ehr/api/fhir/metadata/swagger,https://portal.escribe.com/ehr/api/fhir/metadata/swagger.json
medical_informatics_engineering,True,False,https://rustagi.webchartnow.com/webchart.cgi/fhir/,https://rustagi.webchartnow.com/webchart.cgi/metadata,https://rustagi.webchartnow.com/webchart.cgi/.well-known/smart-configuration,https://rustagi.webchartnow.com/webchart.cgi/api-docs,https://rustagi.webchartnow.com/webchart.cgi/openapi.json,https://rustagi.webchartnow.com/webchart.cgi/swagger,https://rustagi.webchartnow.com/webchart.cgi/swagger.json
medicus_clinical_llc,True,False,https://fhirpresentation.assertus.com/fhir/medicus/greatmed/r4,https://fhirpresentation.assertus.com/metadata,https://fhirpresentation.assertus.com/.well-known/smart-configuration,https://fhirpresentation.assertus.com/api-docs,https://fhirpresentation.assertus.com/openapi.json,https://fhirpresentation.assertus.com/swagger,https://fhirpresentation.assertus.com/swagger.json
micromd_llc,True,False,https://micromd.dynamicfhir.com/fhir/micromd/basepractice/r4,https://micromd.dynamicfhir.com/fhir/micromd/metadata,https://micromd.dynamicfhir.com/fhir/.well-known/smart-configuration,https://micromd.dynamicfhir.com/fhir/micromd/api-docs,https://micromd.dynamicfhir.com/fhir/micromd/openapi.json,https://micromd.dynamicfhir.com/fhir/micromd/swagger,https://micromd.dynamicfhir.com/fhir/micromd/swagger.json
nextech,True,False,https://api.intellechart.net/icp-fhir-api/,https://api.intellechart.net/icp-fhir-api/metadata,https://api.intellechart.net/icp-fhir-api/.well-known/smart-configuration,https://api.intellechart.net/icp-fhir-api/api-docs,https://api.intellechart.net/icp-fhir-api/openapi.json,https://api.intellechart.net/icp-fhir-api/swagger,https://api.intellechart.net/icp-fhir-api/swagger.json
office_ally_llc,True,False,https://fhirpt.officeally.com/fhir/officeally/14234/r4,https://fhirpt.officeally.com/fhir/officeally/metadata,https://fhirpt.officeally.com/fhir/.well-known/smart-configuration,https://fhirpt.officeally.com/fhir/officeally/api-docs,https://fhirpt.officeally.com/fhir/officeally/openapi.json,https://fhirpt.officeally.com/fhir/officeally/swagger,https://fhirpt.officeally.com/fhir/officeally/swagger.json
ot_emr_inc,True,False,https://demo.onetouchemr.com/fhir/r4,https://demo.onetouchemr.com/metadata,https://demo.onetouchemr.com/.well-known/smart-configuration,https://demo.onetouchemr.com/api-docs,https://demo.onetouchemr.com/openapi.json,https://demo.onetouchemr.com/swagger,https://demo.onetouchemr.com/swagger.json
pce_systems,True,False,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/MUPIX/v2,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/metadata,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/.well-known/smart-configuration,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/api-docs,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/openapi.json,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/swagger,https://w3.pcesecure.com/cgi-bin/WebObjects/HIEAdmin.woa/swagger.json
prime_clinical_systems,True,False,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/basepractice/r4,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/metadata,https://fhirpresentation.pcsdataxchg.com/fhir/.well-known/smart-configuration,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/api-docs,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/openapi.json,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/swagger,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/swagger.json
prime_clinical_systems_inc,True,False,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/basepractice/r4,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/metadata,https://fhirpresentation.pcsdataxchg.com/fhir/.well-known/smart-configuration,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/api-docs,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/openapi.json,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/swagger,https://fhirpresentation.pcsdataxchg.com/fhir/dhit/swagger.json
procentive,True,False,https://fhir.procentive.com/fhir/procentive/basepractice/r4,https://fhir.procentive.com/metadata,https://fhir.procentive.com/.well-known/smart-configuration,https://fhir.procentive.com/api-docs,https://fhir.procentive.com/openapi.json,https://fhir.procentive.com/swagger,https://fhir.procentive.com/swagger.json
qualifacts_systems_llc_4,True,False,https://fhir.insynchcs.com/insync/seniorconnections-200/,https://fhir.insynchcs.com/metadata,https://fhir.insynchcs.com/.well-known/smart-configuration,https://fhir.insynchcs.com/api-docs,https://fhir.insynchcs.com/openapi.json,https://fhir.insynchcs.com/swagger,https://fhir.insynchcs.com/swagger.json
radysans_inc,True,False,https://ehr.cutecharts.com/radysans-webapi,https://ehrwebapi.cutecharts.com/radywebapi/metadata,https://ehrwebapi.cutecharts.com/radywebapi/.well-known/smart-configuration,https://ehrwebapi.cutecharts.com/radywebapi/api-docs,https://ehrwebapi.cutecharts.com/radywebapi/openapi.json,https://ehrwebapi.cutecharts.com/radywebapi/swagger,https://ehrwebapi.cutecharts.com/radywebapi/swagger.json
tebra_technologies_inc,True,False,https://fhir.prd.cloud.tebra.com/fhir-request,https://fhir.prd.cloud.tebra.com/metadata,https://fhir.prd.cloud.tebra.com/.well-known/smart-configuration,https://fhir.prd.cloud.tebra.com/api-docs,https://fhir.prd.cloud.tebra.com/openapi.json,https://fhir.prd.cloud.tebra.com/swagger,https://fhir.prd.cloud.tebra.com/swagger.json
tronshealth_llc_2,True,False,https://akpc.tronshealth.com/fhirv4.0,https://akpc.tronshealth.com/metadata,https://akpc.tronshealth.com/.well-known/smart-configuration,https://akpc.tronshealth.com/api-docs,https://akpc.tronshealth.com/openapi.json,https://akpc.tronshealth.com/swagger,https://akpc.tronshealth.com/swagger.json
varian_medical_systems,True,False,https://varian.dynamicfhir.com/fhir/varian/basepractice/r4,https://varian.dynamicfhir.com/fhir/varian/metadata,https://varian.dynamicfhir.com/fhir/.well-known/smart-configuration,https://varian.dynamicfhir.com/fhir/varian/api-docs,https://varian.dynamicfhir.com/fhir/varian/openapi.json,https://varian.dynamicfhir.com/fhir/varian/swagger,https://varian.dynamicfhir.com/fhir/varian/swagger.json
welligent_part_of_the_continuumcloud,True,False,https://fhir.qa.welligent.com/fhir/alleghanycountypublicschools/99/r4,https://fhir.qa.welligent.com/fhir/alleghanycountypublicschools/metadata,https://fhir.qa.welligent.com/fhir/.well-known/smart-configuration,https://fhir.qa.welligent.com/fhir/alleghanycountypublicschools/api-docs,https://fhir.qa.welligent.com/fhir/alleghanycountypublicschools/openapi.json,https://fhir.qa.welligent.com/fhir/alleghanycountypublicschools/swagger,https://fhir.qa.welligent.com/fhir/alleghanycountypublicschools/swagger.json
